firstAddress,lastAddress,type,value,TransactionHash
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,15.648537959905158698,0x6f78dbcdc70ed9f765eaab5167e4811deb95dbcda5ecfa72886acd593257d151
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,40.683568263647506766,0x885179afcb546d19ffb8410926fd4bbfd188359a7911bde4bfbf8a38287085b5
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,13.487092483819682257,0x748159afce4b6325dfc87f7e884711bc6215ec896a8b88f14efc56f5509296ef
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,42.680102287435836093,0x8813b36922952de4dcfa3789d509e2f690800ddac67a60ed93bed5b12e996766
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,14.990900228800737149,0x23c0449bdf47be7e098f97c93910136cd3fa0df1cf6bb0f456cc72fb3dd86b9b
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0x76848937fbecc74e58da35da4d74e383f3fa2999a645b647bdf7892bbb419ce7
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,54.895396188802954806,0xa813a73a99f8870ef3ce618dc76162f4c90d15db027acb877100d56a5db4121f
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,126.787531788374188226,0xd5b7dd55e479461883d107439bee33c47fb6510b12e9d5c792291dd3338ac726
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0xb13d13c36045c3a958cb4e19070bbd7e6925aea9ac7f67fe9117ae4c52f8f59f
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB_SWAP_OUT,0.100103592563789698,0x2dd5ebcb0ef5c639d33cdd4dfaa3f6421151f9423848be0fff4aac543f0d12b5
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0xf5280b0273c4ed53c06459726ed5f0da9c641b87d674d073a2c990a1bcab7e10
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0xb9e067b020a7192718c5ad993cf9d12cc4687ea006a1b530b8cf8b13d7096e87
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0x59c4a47ac8c4ee71013a5d0e12e3c9702c57c58b928f6efb68291687d9a23de3
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,26.558413556757767218,0x3bba4c3cbe04379b4deb16c8ffe01a4ba32104a64ab65be866a994eae09dccaa
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,50.555567664354219005,0x1f17518a59247828d5084c0fa5b31c3c86438ffa84cb7c22e857d04cf043c315
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,116.851669104201080384,0x71096c2dec7dcc7ff33601ea4379c57e7ef0f76b81a359ab798c2dbd9f50dc22
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0xaf6f7ffb69d8c752cbcc0768f5c70a829eba2d938211dcf6c988f7c67199cb82
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0x383fb3a60164d899ca0006878df9137f352b8745a65d7a29177de8648cb76ac7
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,BUSD_SWAP_IN,0.729257253780632887,0x4fc4ff6e3203d51ca9bcbe72bc5bd938c03639997d37bc16225de025735f0ad8
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,BUSD_SWAP_IN,42.994775165473983587,0xfe847d6e47e10c20e92760f317c85fdeae18ad370fd3db803caf9ee170a4aeae
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0xa5552b51232d4625bdab08f5b37c6163ebc786acfb1d995c46123b8092bca913
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0xba76c834873d1650fe683d51c7930792504b65067430a0b54d4db1e9ae8d537c
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0x9879b41e285e9c18cbd833862580baba3042a007ba167bdfd63e8052d70a8e32
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0x8a47655a4c44a8d3bbaf3108fdbaf1faf3bc42ab3e68552010ea417d47711478
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0xdf88a9e621256bf420a1d5959952507de0ba0c294bb9d8bace675966bc6d13ae
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0xc44239304e8801733219caee0078a067bb80fb0fc3f5f2fdfd57925d8e6efc61
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,BUSD_SWAP_IN,34.537402888684255635,0xe001d63cd5a2788be1dfe2c6395962aca056ccbd0838ab82b4cea0ec7303a94e
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,106.130442290272412836,0x7feb72ada77cdf71b21b3c6b7fc9469904658f99362e4e756b4604af48040b67
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0xd1a6af105a6061c0c58f8cbfc8e85ce6f7a567a5793fe094350ef5b78663dde0
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0x82512e00183f54edf721202164cae373db0e5535ebde50d171bb50175c714751
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,OTHER,0,0xa90d93e3c8b66a92ee4971223111aa9ac7c4374e293f874a3323eb0c65620158
