tokenIn,tokenOut,type,value,TransactionHash
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,290.443715150164702687,0x3efcca25f6152e70958e68814c0d8629f0438bbf3e936725ea028193ec86685d
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,BUSD_SWAP_IN,182,0xbb088a25dbbe08510e8160caa085cea56b292f5173c15aacec717abb1e2dc2d5
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,182.022148972624590939,0xe534fef0a59eb1bbbc2cc8dd1e1aacf2de55eec3015f6ec9e2c04a51113d5a31
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,BUSD_SWAP_IN,259,0x7fbd16a42966b2366e542ac9d99e03474387c707444d668e734a217bbd22089c
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,212.953351747873573064,0x8cbaf0e1a5370f28aa17b44e8c917e29e2d54406035cae19cc816391e06c29fe
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,BUSD_SWAP_IN,183.60955,0x5b681ec24ad1b7836e0c5b79af01e849759848ff6b5d1f9bf47a144a7efd5ece
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,70.890877593509275444,0x55e81de63be00ba9a132760fa4dcd2188bdb245993622e738086414a7b5a35db
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,BUSD_SWAP_IN,61.52977,0xa20e5e1c9a1e4375cf37855505e15f16d5f3bf1c542a49e166026170d702abc9
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,176.318861275280692911,0x1eb69cc8b6baddf7ba46217003ae2b7af303c958651311c8cdd6a1f67b629912
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,BUSD_SWAP_IN,88.17299,0x6f976e45d96f88883af0a0971e7c2c0834f5888ec293554926e2ba8121ae24ae
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,73.78779672237591899,0x4e4e8eda88c57173a9d12ab9299f76928be28063d0957b5b27fa98aa448d7f6b
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,BUSD_SWAP_IN,145.73537,0xaaa5e79dcc0f55d385a75d32e6151500e9fdd66ab8291edaa847745826044373
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,119.416253020745662195,0x175c2318ac2bfa27cafc93c4c11a3437bfb9c34eaf4fff64f844e97b54ec096b
0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD_SWAP_OUT,62.100901341068360132,0xb760ec4d150eca44aaa952bcccdfb8d3d138607f9f5d569bb1c3fc2246393a46
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xa83Bfcf9E252Adf1F39937984A4E113Eda6E445b,BUSD_SWAP_IN,160.69952,0xa5ecdd11dbab34a23345f08d46cf1cedaffbca9800e77059dd0740228cc67930
